num	name	http1	delta	delta_bohe	http1_gzip
1	amazon.com	293	207	207	170
2	amazon.com	297	27	27	17
3	amazon.com	535	191	224	204
4	amazon.com	527	132	130	73
5	amazon.com	534	109	109	98
6	amazon.com	1528	974	983	889
7	amazon.com	904	355	353	301
8	amazon.com	677	120	115	112
9	amazon.com	864	281	281	181
10	amazon.com	514	37	37	24
11	amazon.com	842	307	286	267
12	amazon.com	1147	261	261	67
13	amazon.com	1703	579	579	365
14	amazon.com	1010	172	172	143
15	amazon.com	1206	287	290	100
16	amazon.com	1197	53	52	36
17	amazon.com	1556	324	324	224
18	amazon.com	1600	466	466	230
19	amazon.com	1193	158	158	91
20	amazon.com	1161	122	122	120
21	amazon.com	1398	506	512	202
22	amazon.com	1513	409	409	178
23	amazon.com	1161	82	81	68
24	amazon.com	1252	193	193	133
25	amazon.com	1489	575	580	192
26	amazon.com	1158	268	268	125
27	amazon.com	1091	86	86	70
28	amazon.com	1156	130	130	121
29	amazon.com	1797	567	567	247
30	amazon.com	1181	104	104	69
31	amazon.com	1157	271	271	122
32	amazon.com	1428	498	503	183
33	amazon.com	1402	379	379	145
34	amazon.com	952	58	58	44
35	amazon.com	972	57	57	49
36	amazon.com	1019	100	105	39
37	amazon.com	1441	353	353	181
38	amazon.com	1205	294	294	122
39	images-amazon.com	367	84	84	78
40	images-amazon.com	371	60	60	58
41	images-amazon.com	396	76	76	73
42	images-amazon.com	371	60	60	23
43	images-amazon.com	399	80	80	72
44	images-amazon.com	370	59	59	54
45	images-amazon.com	375	63	63	43
46	images-amazon.com	339	62	62	37
47	images-amazon.com	339	43	43	22
48	images-amazon.com	341	44	44	24
49	images-amazon.com	339	42	42	28
50	images-amazon.com	339	43	43	24
51	images-amazon.com	341	44	44	24
52	images-amazon.com	416	98	98	75
53	images-amazon.com	376	64	64	51
54	images-amazon.com	375	65	65	58
55	images-amazon.com	339	47	47	23
56	images-amazon.com	339	42	42	22
57	images-amazon.com	338	42	42	26
58	images-amazon.com	376	118	114	68
59	images-amazon.com	345	52	52	38
60	images-amazon.com	375	72	72	53
61	images-amazon.com	406	93	93	56
62	images-amazon.com	358	52	52	40
63	images-amazon.com	355	49	49	27
64	images-amazon.com	369	59	59	25
65	images-amazon.com	349	43	43	28
66	images-amazon.com	361	81	81	42
67	images-amazon.com	361	61	61	37
68	images-amazon.com	361	53	53	15
69	images-amazon.com	396	77	77	57
70	images-amazon.com	394	76	76	22
71	images-amazon.com	347	73	73	37
72	images-amazon.com	361	72	72	39
73	images-amazon.com	347	67	67	30
74	images-amazon.com	336	57	57	33
75	images-amazon.com	423	121	121	41
76	images-amazon.com	341	53	53	24
77	images-amazon.com	339	42	42	21
78	images-amazon.com	408	92	92	72
79	images-amazon.com	383	69	69	43
80	images-amazon.com	410	89	89	70
81	images-amazon.com	426	100	100	84
82	images-amazon.com	405	89	89	71
83	images-amazon.com	404	83	83	57
84	images-amazon.com	391	73	73	55
85	images-amazon.com	356	52	52	36
86	images-amazon.com	345	72	72	36
87	images-amazon.com	370	75	75	53
88	images-amazon.com	372	72	72	40
89	images-amazon.com	400	90	90	75
90	images-amazon.com	414	63	63	45
91	images-amazon.com	337	49	49	25
92	images-amazon.com	401	63	63	45
93	images-amazon.com	397	57	57	31
94	images-amazon.com	351	81	81	35
95	images-amazon.com	437	94	94	62
96	images-amazon.com	406	66	66	29
97	images-amazon.com	422	78	78	42
98	images-amazon.com	401	62	62	34
99	images-amazon.com	396	60	60	25
100	images-amazon.com	415	74	74	41
101	images-amazon.com	400	65	65	23
102	images-amazon.com	413	72	72	37
103	images-amazon.com	421	73	73	50
104	images-amazon.com	415	74	74	49
105	images-amazon.com	417	73	73	25
106	images-amazon.com	421	73	73	25
107	images-amazon.com	406	64	64	32
108	images-amazon.com	400	65	65	20
109	images-amazon.com	415	74	74	35
110	images-amazon.com	426	82	82	48
111	images-amazon.com	409	70	70	37
112	images-amazon.com	410	71	71	40
113	images-amazon.com	415	72	72	21
114	images-amazon.com	412	69	69	22
115	images-amazon.com	404	61	61	36
116	images-amazon.com	415	73	73	22
117	images-amazon.com	420	77	77	43
118	images-amazon.com	403	65	65	23
119	images-amazon.com	575	79	79	177
120	images-amazon.com	566	61	61	33
121	images-amazon.com	568	62	62	31
122	images-amazon.com	587	76	76	64
123	images-amazon.com	436	93	93	49
124	images-amazon.com	566	72	72	51
125	images-amazon.com	567	62	62	23
126	images-amazon.com	572	65	65	34
127	images-amazon.com	561	71	71	53
128	images-amazon.com	564	64	64	43
129	images-amazon.com	534	48	48	27
130	images-amazon.com	532	42	42	23
131	images-amazon.com	563	63	63	25
132	images-amazon.com	562	71	71	29
133	images-amazon.com	563	65	65	52
134	images-amazon.com	574	65	65	20
135	images-amazon.com	572	65	65	31
136	images-amazon.com	532	46	46	26
137	images-amazon.com	570	76	76	32
138	images-amazon.com	562	66	66	23
139	images-amazon.com	562	64	64	23
140	images-amazon.com	554	56	56	21
141	images-amazon.com	570	79	79	24
142	images-amazon.com	557	61	61	27
143	images-amazon.com	581	78	78	66
144	images-amazon.com	590	84	84	40
145	images-amazon.com	584	80	80	37
146	images-amazon.com	580	78	78	29
147	images-amazon.com	569	63	63	31
148	images-amazon.com	571	64	64	18
149	images-amazon.com	571	65	65	25
150	images-amazon.com	566	61	61	25
151	images-amazon.com	579	70	70	57
152	images-amazon.com	587	76	76	58
153	images-amazon.com	605	91	91	61
154	images-amazon.com	581	72	72	52
155	images-amazon.com	597	84	84	53
156	images-amazon.com	575	68	68	49
157	images-amazon.com	590	79	79	67
158	images-amazon.com	570	63	63	43
159	images-amazon.com	613	94	94	76
160	images-amazon.com	573	66	66	39
161	images-amazon.com	571	66	66	34
162	images-amazon.com	579	74	74	65
163	images-amazon.com	601	85	85	68
164	images-amazon.com	572	86	86	53
165	images-amazon.com	543	70	70	62
166	images-amazon.com	568	77	77	50
167	images-amazon.com	584	14	14	16
168	images-amazon.com	569	76	76	37
169	images-amazon.com	554	77	77	51
170	images-amazon.com	570	74	74	31
171	images-amazon.com	586	77	77	40
172	images-amazon.com	541	75	75	30
173	images-amazon.com	582	82	82	48
174	images-amazon.com	444	129	129	38
175	images-amazon.com	435	42	42	26
176	images-amazon.com	442	47	47	22
177	images-amazon.com	433	41	41	20
178	images-amazon.com	532	53	53	29
179	images-amazon.com	552	56	56	37
180	images-amazon.com	581	71	71	54
181	images-amazon.com	557	56	56	42
182	images-amazon.com	580	45	23	70
183	images-amazon.com	566	94	94	31
184	images-amazon.com	522	53	53	121
185	images-amazon.com	621	77	77	26
186	images-amazon.com	522	50	50	26
187	images-amazon.com	522	41	41	23
188	images-amazon.com	571	75	75	24
189	images-amazon.com	522	45	45	26
190	images-amazon.com	522	42	42	23
191	images-amazon.com	571	75	75	26
192	images-amazon.com	522	45	45	26
193	images-amazon.com	522	42	42	23
194	images-amazon.com	522	42	42	25
195	images-amazon.com	522	42	42	22
196	images-amazon.com	522	41	41	23
197	images-amazon.com	522	41	41	23
198	images-amazon.com	599	63	63	36
199	images-amazon.com	530	57	57	34
200	images-amazon.com	528	47	47	23
