num	name	http1	delta	delta_bohe	http1_gzip
1	amazon.com	242	162	145	133
2	amazon.com	759	487	323	399
3	amazon.com	884	142	109	123
4	amazon.com	125	40	42	25
5	amazon.com	898	159	140	121
6	amazon.com	141	45	42	29
7	amazon.com	591	213	176	124
8	amazon.com	903	109	109	111
9	amazon.com	215	58	57	60
10	amazon.com	707	91	80	96
11	amazon.com	125	28	28	15
12	amazon.com	215	76	61	40
13	amazon.com	883	103	103	111
14	amazon.com	780	139	122	114
15	amazon.com	823	80	65	55
16	amazon.com	823	41	41	45
17	amazon.com	816	121	106	110
18	amazon.com	591	105	103	106
19	amazon.com	611	121	106	106
20	amazon.com	611	118	103	105
21	amazon.com	591	98	98	101
22	amazon.com	591	94	94	101
23	amazon.com	611	123	108	104
24	amazon.com	732	162	147	169
25	amazon.com	591	125	110	105
26	amazon.com	215	51	51	43
27	amazon.com	611	105	105	99
28	amazon.com	611	41	41	34
29	amazon.com	591	100	100	103
30	amazon.com	611	122	107	101
31	amazon.com	215	75	60	43
32	amazon.com	591	98	98	102
33	amazon.com	591	95	95	100
34	amazon.com	611	99	99	102
35	amazon.com	611	116	101	105
36	amazon.com	611	113	98	105
37	amazon.com	591	120	105	105
38	amazon.com	591	96	96	100
39	images-amazon.com	455	284	230	266
40	images-amazon.com	454	132	100	116
41	images-amazon.com	455	127	95	97
42	images-amazon.com	454	125	94	104
43	images-amazon.com	474	142	108	127
44	images-amazon.com	458	141	107	122
45	images-amazon.com	456	128	94	114
46	images-amazon.com	457	132	99	109
47	images-amazon.com	457	124	90	106
48	images-amazon.com	488	146	109	143
49	images-amazon.com	457	124	91	114
50	images-amazon.com	458	124	90	111
51	images-amazon.com	458	124	92	109
52	images-amazon.com	456	122	90	100
53	images-amazon.com	456	129	97	112
54	images-amazon.com	458	131	96	102
55	images-amazon.com	458	125	91	107
56	images-amazon.com	457	124	90	101
57	images-amazon.com	485	126	94	110
58	images-amazon.com	317	146	89	82
59	images-amazon.com	317	93	51	57
60	images-amazon.com	317	85	45	51
61	images-amazon.com	455	138	105	102
62	images-amazon.com	455	126	93	107
63	images-amazon.com	474	126	94	115
64	images-amazon.com	456	132	98	102
65	images-amazon.com	468	148	114	112
66	images-amazon.com	334	102	62	48
67	images-amazon.com	456	134	103	104
68	images-amazon.com	456	107	90	93
69	images-amazon.com	455	131	98	99
70	images-amazon.com	455	123	90	99
71	images-amazon.com	332	98	59	58
72	images-amazon.com	333	85	45	54
73	images-amazon.com	333	86	45	59
74	images-amazon.com	333	86	45	49
75	images-amazon.com	271	96	55	60
76	images-amazon.com	457	135	102	100
77	images-amazon.com	457	121	89	100
78	images-amazon.com	458	122	89	101
79	images-amazon.com	476	129	96	105
80	images-amazon.com	457	132	100	104
81	images-amazon.com	457	128	95	101
82	images-amazon.com	457	123	91	101
83	images-amazon.com	456	128	95	104
84	images-amazon.com	456	125	92	100
85	images-amazon.com	476	127	95	108
86	images-amazon.com	333	101	61	54
87	images-amazon.com	317	92	51	59
88	images-amazon.com	317	85	45	50
89	images-amazon.com	317	86	45	46
90	images-amazon.com	317	87	45	50
91	images-amazon.com	453	131	99	103
92	images-amazon.com	457	122	89	104
93	images-amazon.com	456	125	90	105
94	images-amazon.com	333	99	57	57
95	images-amazon.com	456	131	97	101
96	images-amazon.com	458	130	97	105
97	images-amazon.com	333	100	59	59
98	images-amazon.com	333	86	45	53
99	images-amazon.com	456	136	102	104
100	images-amazon.com	332	94	53	52
101	images-amazon.com	458	135	103	97
102	images-amazon.com	333	94	53	51
103	images-amazon.com	363	108	88	83
104	images-amazon.com	457	133	100	92
105	images-amazon.com	388	122	66	48
106	images-amazon.com	363	90	55	45
107	images-amazon.com	388	93	51	45
108	images-amazon.com	458	134	102	97
109	images-amazon.com	388	98	57	47
110	images-amazon.com	458	132	98	98
111	images-amazon.com	389	118	61	53
112	images-amazon.com	457	132	99	102
113	images-amazon.com	458	125	92	87
114	images-amazon.com	458	123	90	95
115	images-amazon.com	455	131	98	101
116	images-amazon.com	388	97	57	48
117	images-amazon.com	456	135	101	103
118	images-amazon.com	332	75	46	34
119	images-amazon.com	455	132	99	104
120	images-amazon.com	478	144	114	119
121	images-amazon.com	456	123	89	103
122	images-amazon.com	475	130	97	107
123	images-amazon.com	317	101	59	55
124	images-amazon.com	456	136	102	96
125	images-amazon.com	478	125	91	101
126	images-amazon.com	456	127	93	96
127	images-amazon.com	455	125	92	99
128	images-amazon.com	456	123	90	97
129	images-amazon.com	457	123	89	96
130	images-amazon.com	458	123	89	102
131	images-amazon.com	475	129	95	102
132	images-amazon.com	485	127	95	107
133	images-amazon.com	456	127	95	93
134	images-amazon.com	479	81	79	88
135	images-amazon.com	456	105	88	82
136	images-amazon.com	456	127	94	94
137	images-amazon.com	455	123	89	99
138	images-amazon.com	455	101	84	93
139	images-amazon.com	456	126	93	89
140	images-amazon.com	456	122	89	94
141	images-amazon.com	455	122	89	97
142	images-amazon.com	475	80	79	84
143	images-amazon.com	456	127	93	98
144	images-amazon.com	456	124	90	85
145	images-amazon.com	479	128	94	92
146	images-amazon.com	456	108	89	86
147	images-amazon.com	456	127	93	87
148	images-amazon.com	475	129	95	95
149	images-amazon.com	456	129	95	87
150	images-amazon.com	456	123	90	87
151	images-amazon.com	477	130	97	111
152	images-amazon.com	455	133	99	104
153	images-amazon.com	473	132	99	101
154	images-amazon.com	455	127	93	94
155	images-amazon.com	456	130	97	101
156	images-amazon.com	457	131	97	97
157	images-amazon.com	455	132	98	97
158	images-amazon.com	456	125	91	96
159	images-amazon.com	474	131	98	92
160	images-amazon.com	456	126	93	97
161	images-amazon.com	479	128	94	96
162	images-amazon.com	456	132	99	98
163	images-amazon.com	456	123	89	103
164	images-amazon.com	317	94	53	58
165	images-amazon.com	333	117	60	53
166	images-amazon.com	317	93	51	52
167	images-amazon.com	317	45	35	20
168	images-amazon.com	316	90	49	55
169	images-amazon.com	334	95	54	44
170	images-amazon.com	456	131	97	102
171	images-amazon.com	478	129	95	101
172	images-amazon.com	335	100	58	43
173	images-amazon.com	456	134	101	106
